player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Geasa-Fairbanks,2/20/20,22:26:55,1582273615-0,[Tome of Tranquilizing Shot],16665,item:16665::::::::60,"Candidate is selecting response, please wait",0,HUNTER,Molten Core-40 Player,Lucifron,9,409,40,,,WAIT,false,Book,,,Lucifron
Geasa-Fairbanks,3/08/20,21:29:34,1583735374-4,[Giantstalker's Leggings],16847,item:16847::::::::60,Main Spec,11,HUNTER,Molten Core-40 Player,Magmadar,9,409,40,|cff0070dd|Hitem:15062::::::::60:::::::|h[Devilsaur Leggings]|h|r,,1,false,Mail,Legs,,Magmadar
Geasa-Fairbanks,3/08/20,22:14:12,1583738052-14,[Giantstalker's Gloves],16852,item:16852::::::::60,Main Spec,5,HUNTER,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:15063:1887:::::::60:::::::|h[Devilsaur Gauntlets]|h|r,,1,false,Mail,Hands,,Shazzrah
Geasa-Fairbanks,3/08/20,23:10:09,1583741409-6,[Head of Onyxia],18422,item:18422::::::::60,Main Spec,8,HUNTER,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,1,false,Quest,,,Onyxia
Geasa-Fairbanks,3/15/20,21:49:55,1584341395-8,[Giantstalker's Helmet],16846,item:16846::::::::60,Main Spec,4,HUNTER,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16939::::::::60:::::::|h[Dragonstalker's Helm]|h|r,,1,false,Mail,Head,,Garr
Geasa-Fairbanks,3/15/20,22:41:26,1584344486-27,[Cloak of the Shrouded Mists],17102,item:17102::::::::60,Main Spec,7,HUNTER,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:13340:849:::::::60:::1::::|h[Cape of the Black Baron]|h|r,,1,false,Cloth,Back,,Ragnaros
Geasa-Fairbanks,3/18/20,00:08:46,1584522526-5,[Dragonbreath Hand Cannon],19368,item:19368::::::::60,Main Spec,4,HUNTER,Blackwing Lair-40 Player,Ebonroc,9,469,40,|cff0070dd|Hitem:18323:664:::::::60:::1::::|h[Satyr's Bow]|h|r,,1,false,Guns,,,Ebonroc
Geasa-Fairbanks,3/22/20,21:26:46,1584944806-6,[Felheart Bracers],16804,item:16804::::::::60,Banking,0,HUNTER,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16850:247:::::::60:::::::|h[Giantstalker's Bracers]|h|r,,2,true,Cloth,Wrist,,Magmadar
Geasa-Fairbanks,3/22/20,22:50:31,1584949831-10,[Sandals of the Insurgent],13111,item:13111::::::::60,Banking,0,HUNTER,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff0070dd|Hitem:16675::::::::60:::1::::|h[Beaststalker's Boots]|h|r,,2,true,Leather,Feet,,Onyxia
Geasa-Fairbanks,3/22/20,22:50:41,1584949841-11,[Codex: Prayer of Fortitude II],17414,item:17414::::::::60,Banking,0,HUNTER,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,2,true,Book,,,Onyxia
Geasa-Fairbanks,3/29/20,22:20:48,1585552848-3,[Giantstalker's Breastplate],16845,item:16845::::::::60,Main Spec,8,HUNTER,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:18530:928:::::::60:::1::::|h[Ogre Forged Hauberk]|h|r,,1,false,Mail,Chest,,Geasa-Fairbanks
Geasa-Fairbanks,4/05/20,22:54:12,1586159652-29,[Drakesfire Epaulets],13133,item:13133::::::::60,Banking,0,HUNTER,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16848::::::::60:::::::|h[Giantstalker's Epaulets]|h|r,,2,true,Mail,Shoulder,,Onyxia
Geasa-Fairbanks,4/05/20,22:54:34,1586159674-31,[Ring of Binding],18813,item:18813::::::::60,PvP Item,2,HUNTER,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:19325::::::::60:::14::::|h[Don Julio's Band]|h|r,|cff0070dd|Hitem:18500::::::::60:::1::::|h[Tarnished Elven Ring]|h|r,3,false,Miscellaneous,Finger,,Onyxia
Geasa-Fairbanks,4/12/20,21:34:44,1586759684-7,[Quick Strike Ring],18821,item:18821::::::::60,Main Spec,6,HUNTER,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:19325::::::::60:::14::::|h[Don Julio's Band]|h|r,|cff0070dd|Hitem:18500::::::::60:::1::::|h[Tarnished Elven Ring]|h|r,1,false,Miscellaneous,Finger,,Garr
Geasa-Fairbanks,4/12/20,22:00:11,1586761211-16,[Shadowstrike],17074,item:17074::::::::60,PvP Item,5,HUNTER,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cff0070dd|Hitem:18737:2564:::::::60:::1::::|h[Bone Slicing Hatchet]|h|r,|cff0070dd|Hitem:18737:2564:::::::60:::1::::|h[Bone Slicing Hatchet]|h|r,3,false,Polearms,Two-Hand,,Sulfuron Harbinger
Geasa-Fairbanks,4/12/20,22:11:07,1586761867-20,[Ancient Petrified Leaf],18703,item:18703::::::::60,Main Spec,5,HUNTER,Molten Core-40 Player,Majordomo Executus,9,409,40,,,1,false,Quest,,,Majordomo Executus
Geasa-Fairbanks,4/14/20,22:17:40,1586935060-0,[Dragonstalker's Bracers],16935,item:16935::::::::60,Main Spec,7,HUNTER,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cffa335ee|Hitem:16850:247:::::::60:::::::|h[Giantstalker's Bracers]|h|r,,1,false,Mail,Wrist,,Razorgore the Untamed
Geasa-Fairbanks,4/14/20,22:47:33,1586936853-8,[Dragonstalker's Greaves],16941,item:16941::::::::60,Main Spec,10,HUNTER,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cff0070dd|Hitem:14616:911:::::::60:::1::::|h[Bloodmail Boots]|h|r,,1,false,Mail,Feet,,Broodlord Lashlayer
Geasa-Fairbanks,4/15/20,00:19:45,1586942385-18,[Dragonstalker's Spaulders],16937,item:16937::::::::60,Main Spec,1,HUNTER,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:16848::::::::60:::::::|h[Giantstalker's Epaulets]|h|r,,1,false,Mail,Shoulder,,Chromaggus
Geasa-Fairbanks,4/15/20,00:42:17,1586943737-5,[Prestor's Talisman of Connivery],19377,item:19377::::::::60,Main Spec,8,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:18404::::::::60:::11::::|h[Onyxia Tooth Pendant]|h|r,,1,false,Miscellaneous,Neck,,Nefarian
Geasa-Fairbanks,4/05/20,22:26:32,1586157992-20,[Giantstalker's Bracers],16850,item:16850::::::::60,Banking,0,HUNTER,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:16850:247:::::::60:::::::|h[Giantstalker's Bracers]|h|r,,2,true,Mail,Wrist,,Geasa-Fairbanks
Geasa-Fairbanks,4/24/20,00:19:53,1587719993-0,[Zulian Hacker of the Boar],19921,item:19921::::::1115:2094909952:60,Banking,0,HUNTER,Zul'Gurub-20 Player,Unknown,148,309,20,|cff0070dd|Hitem:18737:2564:::::::60:::1::::|h[Bone Slicing Hatchet]|h|r,|cff0070dd|Hitem:18737:2564:::::::60:::1::::|h[Bone Slicing Hatchet]|h|r,2,true,One-Handed Axes,One-Hand,,Geasa-Fairbanks
Geasa-Fairbanks,5/03/20,21:07:08,1588572428-0,[Earthfury Bracers],16840,item:16840::::::::60,Banking,0,HUNTER,Molten Core-40 Player,Unknown,9,409,40,|cffa335ee|Hitem:16935::::::::60:::::::|h[Dragonstalker's Bracers]|h|r,,2,true,Mail,Wrist,,Geasa-Fairbanks
Geasa-Fairbanks,5/03/20,21:27:54,1588573674-7,[Giantstalker's Boots],16849,item:16849::::::::60,Main Spec,1,HUNTER,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:16941:911:::::::60:::::::|h[Dragonstalker's Greaves]|h|r,,1,false,Mail,Feet,,Gehennas
Geasa-Fairbanks,5/03/20,21:33:19,1588573999-11,[Felheart Belt],16806,item:16806::::::::60,Banking,0,HUNTER,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:16851::::::::60:::::::|h[Giantstalker's Belt]|h|r,,2,true,Cloth,Waist,,Gehennas
Geasa-Fairbanks,5/03/20,21:37:14,1588574234-12,[Earthfury Bracers],16840,item:16840::::::::60,Banking,0,HUNTER,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:16935::::::::60:::::::|h[Dragonstalker's Bracers]|h|r,,2,true,Mail,Wrist,,Gehennas
Geasa-Fairbanks,5/03/20,22:25:48,1588577148-32,[Dragonstalker's Legguards],16938,item:16938::::::::60,Main Spec,1,HUNTER,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:16847::::::::60:::::::|h[Giantstalker's Leggings]|h|r,,1,false,Mail,Legs,,Ragnaros
Geasa-Fairbanks,5/03/20,22:47:40,1588578460-45,[Dreamwalker Armor],13123,item:13123::::::::60,Banking,0,HUNTER,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16845:928:::::::60:::::::|h[Giantstalker's Breastplate]|h|r,,2,true,Mail,Chest,,Onyxia
Geasa-Fairbanks,5/03/20,22:47:49,1588578469-46,[Mageflame Cloak],13007,item:13007::::::::60,Disenchant,0,HUNTER,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:17102:849:::::::60:::::::|h[Cloak of the Shrouded Mists]|h|r,,1,true,Cloth,Back,,Onyxia
Geasa-Fairbanks,5/05/20,23:50:15,1588755015-28,"[Ashkandi, Greatsword of the Brotherhood]",19364,item:19364::::::::60,Main Spec,8,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:18737:2564:::::::60:::1::::|h[Bone Slicing Hatchet]|h|r,|cffa335ee|Hitem:19859:2564:::::::60:::::::|h[Fang of the Faceless]|h|r,1,false,Two-Handed Swords,Two-Hand,,Nefarian
Geasa-Fairbanks,5/06/20,00:46:14,1588758374-44,[Primal Hakkari Shawl],19721,item:19721::::::::60,Off Spec,1,HUNTER,Zul'Gurub-20 Player,High Priestess Jeklik,148,309,20,,,2,false,Quest,,,High Priestess Jeklik
Geasa-Fairbanks,5/06/20,01:36:55,1588761415-2,[Primal Hakkari Bindings],19716,item:19716::::::::60,Off Spec,0,HUNTER,Zul'Gurub-20 Player,High Priestess Arlokk,148,309,20,,,2,false,Quest,,,High Priestess Arlokk
Geasa-Fairbanks,5/01/20,00:03:44,1588323824-11,[Primal Hakkari Bindings],19716,item:19716::::::::60,Off Spec,1,HUNTER,Zul'Gurub-20 Player,Bloodlord Mandokir,148,309,20,,,2,false,Quest,,,Bloodlord Mandokir
Geasa-Fairbanks,5/01/20,01:06:03,1588327563-23,[Fang of the Faceless],19859,item:19859::::::::60,Main Spec,3,HUNTER,Zul'Gurub-20 Player,Hakkar,148,309,20,|cff0070dd|Hitem:18737:2564:::::::60:::1::::|h[Bone Slicing Hatchet]|h|r,|cff0070dd|Hitem:18737:2564:::::::60:::1::::|h[Bone Slicing Hatchet]|h|r,1,false,Daggers,One-Hand,,Hakkar
Geasa-Fairbanks,5/14/20,23:37:44,1589531864-2,[Primal Hakkari Shawl],19721,item:19721::::::::60,Off Spec,1,HUNTER,Zul'Gurub-20 Player,High Priestess Jeklik,148,309,20,,,2,false,Quest,,,High Priestess Jeklik
Geasa-Fairbanks,5/15/20,00:51:15,1589536275-18,[Primal Hakkari Shawl],19721,item:19721::::::::60,Off Spec,0,HUNTER,Zul'Gurub-20 Player,Jin'do the Hexxer,148,309,20,,,2,false,Quest,,,Jin'do the Hexxer
Geasa-Fairbanks,5/15/20,01:22:26,1589538146-25,[Primal Hakkari Idol],22637,item:22637::::::::60,Main Spec,0,HUNTER,Zul'Gurub-20 Player,Hakkar,148,309,20,,,1,false,Junk,,,Geasa-Fairbanks
Geasa-Fairbanks,5/17/20,22:16:24,1589786184-23,[Core Hound Tooth],18805,item:18805::::::::60,Main Spec,6,HUNTER,Molten Core-40 Player,Majordomo Executus,9,409,40,|cff0070dd|Hitem:18737:2564:::::::60:::1::::|h[Bone Slicing Hatchet]|h|r,|cffa335ee|Hitem:19859:2564:::::::60:::::::|h[Fang of the Faceless]|h|r,1,false,Daggers,One-Hand,,Majordomo Executus
Geasa-Fairbanks,5/24/20,21:28:09,1590388089-2,[Giantstalker's Leggings],16847,item:16847::::::::60,Off Spec,0,HUNTER,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16847::::::::60:::::::|h[Giantstalker's Leggings]|h|r,,2,false,Mail,Legs,fr maybe,Magmadar
